volume	scan	headword_ocr	token
bsb10314207	3	Tachrinnen .	tinnorim
bsb10314207	3	Taffel .	luach
bsb10314207	3	Taffel .	farnim
bsb10314207	3	Tagen .	Gallic
bsb10314207	4	Täglich .	iomiom
bsb10314207	4	Täglich .	iomiom
bsb10314207	4	Täglich .	becoli
bsb10314207	4	Tamarisch staude .	beratſon
bsb10314207	5	a-	charts
bsb10314207	5	a-	ibbor
bsb10314207	5	xifch chail .	gebhura
bsb10314207	5	Za	Kis
bsb10314207	5	Za	alkut
bsb10314207	6	Taubheit .	becherifch
bsb10314207	7	Ta	tabhal
bsb10314207	8	Tempel .	herbal
bsb10314207	11	Thal .	chelek
bsb10314207	11	Thal .	helkah
bsb10314207	11	Thal .	manah
bsb10314207	11	Thal .	cha
bsb10314207	11	Theilen .	chalak
bsb10314207	11	Th	natach
bsb10314207	11	Th	thar
bsb10314207	11	Th	chatlah
bsb10314207	11	Thier .	beiroth
bsb10314207	11	Thür ......	petach
bsb10314207	11	Thür ......	deleth
bsb10314207	12	Thürangel .	haddeleth
bsb10314207	12	Thürhüter .	fchoer
bsb10314207	12	Thår offenen .	patach
bsb10314207	12	Thår offenen .	patach
bsb10314207	12	pfoft .	ail
bsb10314207	12	pfoft .	mediud
bsb10314207	13	Thür zerbrechen .	fchabhar
bsb10314207	13	Thür zerbrechen .	fchabhar
bsb10314207	13	Thür zuschliessen .	fagar
bsb10314207	13	Thür zuschliessen .	fagar
bsb10314207	13	Thor / Pforte .	fchaar
bsb10314207	13	Thor / Pforte .	petach
bsb10314207	13	Thun .	afah
bsb10314207	13	Thun .	paal
bsb10314207	13	Tieff .	amok
bsb10314207	13	Tieffe .	hom
bsb10314207	14	Tochter .	bath
bsb10314207	14	Tochter .	fephiah
bsb10314207	14	Tode ..	debher
bsb10314207	14	Tode ..	maggephah
bsb10314207	16	To	Chiccah
bsb10314207	16	Todtschlag .	redach
bsb10314207	16	To	harag
bsb10314207	16	To	katal
bsb10314207	16	To	paga
bsb10314207	16	To	ratfach
bsb10314207	18	Tolch .	romach
bsb10314207	18	Topff / Hafen .	fictilis
bsb10314207	18	Topff / Hafen .	dud
bsb10314207	18	Topff / Hafen .	parur
bsb10314207	18	Topff / Hafen .	kallachat
bsb10314207	18	Topff / Hafen .	mon
bsb10314207	18	Töpffer .	otſer
bsb10314207	18	Ther .	euil
bsb10314207	18	Ther .	mefchygga
bsb10314207	19	Torheit .	tia
bsb10314207	19	Torheit .	iffeler
bsb10314207	19	Torheit .	nebhal
bsb10314207	19	Creans fibi malum .	purah
bsb10314207	19	Tråg sein	hithhat
bsb10314207	19	Tråg sein	pigger
bsb10314207	19	Tragen .	cilcel
bsb10314207	19	Tragen .	nafchak
bsb10314207	21	gange Traube .	olelah
bsb10314207	21	Trawm .	chalom
bsb10314207	21	Trawren .	daag
bsb10314207	21	Trawren .	daabh
bsb10314207	21	Trawren .	abhal
bsb10314207	21	Trawren .	iagah
bsb10314207	22	Trawrigkeit .	dagah
bsb10314207	22	Trawrigkeit .	iagon
bsb10314207	22	Trawrigkeit .	ebhel
bsb10314207	23	Treiben .	ors
bsb10314207	23	Trennen .	badal
bsb10314207	23	Trennen .	parad
bsb10314207	23	Trennen .	palah
bsb10314207	23	Treschen .	charatswoch
bsb10314207	23	Treschen .	bbed
bsb10314207	23	Tr	dfaam
bsb10314207	23	Trewung .	dfáam
bsb10314207	24	Trew / Glaube .	Emunah
bsb10314207	24	Tr	fchathah
bsb10314207	24	Tr	fabha
bsb10314207	24	Tr	fchaGræc
bsb10314207	24	Tringen .	ots
bsb10314207	24	Tritt .	taad
bsb10314207	24	Tritt .	fchaath
bsb10314207	25	Troster .	menachem
bsb10314207	25	Trommet / Posaun .	fchophar
bsb10314207	25	Trommet / Posaun .	-io
bsb10314207	25	Trommet / Posaun .	takoa
bsb10314207	26	Trommeten .	taka
bsb10314207	26	Tr	delepi
bsb10314207	26	Tr	mar
bsb10314207	26	Tr	refifim
bsb10314207	26	Tr	galim
bsb10314207	26	Tropffen .	dalaph
bsb10314207	26	Tropffen .	ataph
bsb10314207	26	Tropffen .	ataph
bsb10314207	26	Tropffen .	rapharap
bsb10314207	27	Trucknen .	Græc
bsb10314207	27	Truncken .	tehiecor
bsb10314207	27	Trunckenheit .	chiccaron
bsb10314207	31	Thurn .	migdal
bsb10314207	31	Thurn .	ophel
bsb10314207	31	Thurn .	daiek
bsb10314207	34	Vatter .	Græc
bsb10314207	37	Vberfahren .	heebhir
bsb10314207	37	Vberflüßig .	Græc
bsb10314207	37	Vberflüßigkeit .	chepha
