form	volume	scan	headword_ocr	printed
AABACTOS	bsb10314207	137	Vnuerlest .	ἀάβακτος
AABAKTOS	bsb10314207	137	Vnuerlest .	ἀάβακτος
AABALLEIN	bsb11762465	836	efle	Ααβάλλειν
AABOLE	bsb11762465	946	ber .	ααβολή
AABOLO	bsb10314207	9	Te	αάβολο
AABUCTOS	bsb10314207	137	Vnuerlest .	ἀάβυκτος
AABUKTOS	bsb10314207	137	Vnuerlest .	ἀάβυκτος
AABYCTOS	bsb10314207	137	Vnuerlest .	ἀάβυκτος
AABYKTOS	bsb10314207	137	Vnuerlest .	ἀάβυκτος
AACT	bsb10314207	126	Vnordentlich .	ἄακτ
AACTO	bsb10314207	64	vnd alles geschaffen .	ἄακτο
AAFA	bsb10314207	136	Vnuergraben .	άαφα
AAFON	bsb11762465	179	Bekümmert .	ἀάφον
AAFORAS	bsb10314207	258	Zivitracht stillen .	Ααφοράς
AAFTHEIREIN	bsb11762465	889	Mi	Ααφθείρειν
AAKT	bsb10314207	126	Vnordentlich .	ἄακτ
AAKTO	bsb10314207	64	vnd alles geschaffen .	ἄακτο
AAPAEIN	bsb11762465	1024	Scheiden .	ααπάειν
AAPAIXEIN	bsb11762465	162	Be	ἀαπαίξειν
AAPEDASOS	bsb10314207	95	Vnachtsam .	ἀαπέδαςος
AAPHA	bsb10314207	136	Vnuergraben .	άαφα
AAPHON	bsb11762465	179	Bekümmert .	ἀάφον
AAPHORAS	bsb10314207	258	Zivitracht stillen .	Ααφοράς
AAPHTHEIREIN	bsb11762465	889	Mi	Ααφθείρειν
AAPIS	bsb11762465	1043	Schildt ,	ἀαπὶς
AAPSEFESIS	bsb11762465	982	Rechtsspruch .	Ααψήφησις
AAPSEPHESIS	bsb11762465	982	Rechtsspruch .	Ααψήφησις
AASAEIN	bsb10314207	23	Trennen .	αασάειν
AASALIEUS	bsb10314207	88	Vi	ἀασαλιεύς
AASALIEYS	bsb10314207	88	Vi	ἀασαλιεύς
AASALIOUS	bsb11762465	468	Fischer .	ἀασαλιούς
AASALIUS	bsb11762465	468	Fischer .	ἀασαλιούς
AASEI	bsb11762465	447	Fe	ἀασει-
AASONTAI	bsb11762465	450	Felf zerreiffen .	αασῶνται
AATALAX	bsb11762465	866	dewerff .	ἀατάλαξ
AATAN	bsb11762465	1031	Schedlich fein .	ἀάταν
AATO	bsb10314207	108	Vn	ἄατο
AATRIBES	bsb11762465	940	Oh	Αατριβῆς
ABACES	bsb10314207	98	Inbetrieglich .	ἀβακὴς
ABACHEMON	bsb10314207	108	Vnfürscher .	ἀβαχήμων
ABAKES	bsb10314207	98	Inbetrieglich .	ἀβακὴς
ABALAIA	bsb11762465	174	Be	ἀβαλαία
ABALEIN	bsb11762465	75	Aff	αβαλεῖν
ABALIA	bsb10314207	176	Weifheit .	ἀβαλία
ABALLON	bsb11762465	836	Låsterig .	αβάλλων
ABARES	bsb11762465	828	Leicht .	ἀβαρής
ABARTOS	bsb10314207	108	Vn	άβαρτος
ABATA	bsb11762465	68	Abweg .	άβατα
ABATES	bsb11762465	282	Circkel .	αβατής
ABAX	bsb11762465	285	Credenktisch .	ἄβαξ
ABBATZAS	bsb11762465	67	Abtey .	ἀββάτζας
ABEBAIA	bsb10314207	97	Vn	ἀβέβαια
ABEL	bsb10314207	132	Vnsinnigkeit .	ἀβελ-
ABELETOS	bsb10314207	113	Vngern .	ἀβέλητος
ABELIA	bsb10314207	113	Aduerbialiter .	ἀβελία
ABELOS	bsb10314207	99	Inbrechhafft .	ἀβελος
ABELPRO	bsb10314207	132	Vit	ἀβέλπρο
ABELTE	bsb11762465	918	Na	ἀβέλτε-
ABERBE	bsb10314207	130	schamhafftig .	ἀβέρβη
ABLABA	bsb10314207	131	Vaschüldig .	ἄβλαβα
ABLABEIA	bsb10314207	131	Pnschuldt .	ἀβλάβεια
ABLABES	bsb10314207	130	Vnschedlich .	ἀβλαβής
ABLEME	bsb11762465	911	Nachleffiglich .	ἀβλεμέ-
ABLEMON	bsb11762465	1145	Stumpff .	ἀβλήμων
ABOL	bsb11762465	1052	Sch	αβολ
ABOLE	bsb11762465	75	Affterredung .	αβολή
ABOLES	bsb10314207	80	Verwechslung .	ἀβολὴς
ABOLO	bsb11762465	836	Låsterig .	άβολο
ABRA	bsb11762465	318	Di	άβρα
ABRADIAS	bsb11762465	754	In	άβράδιας
ABRI	bsb11762465	265	Brodkorb .	ἄβρι-
ABRODIAITO	bsb11762465	754	In	ἀβροδίαιτο
ABROS	bsb10314207	168	Weich .	ἀβρὸς
ABROTOS	bsb10314207	109	Vnfreundlich .	ἄβροτος
ABUASON	bsb10314207	13	grundtloses loch .	ἄβυασον
ABUOSOI	bsb10314207	13	Tieffe .	ἄβυοσοι
ABYASON	bsb10314207	13	grundtloses loch .	ἄβυασον
ABYOSOI	bsb10314207	13	Tieffe .	ἄβυοσοι
ACACA	bsb11762465	363	Einfeltig .	ἄκακα
ACACES	bsb11762465	363	Einfeltig .	ἀκακὴς
ACACHIZEIN	bsb10314207	252	Mühemachen .	ἀκαχίζειν
ACACHMEN	bsb11762465	1035	Scherffen .	ἀκαχμέν
ACACIA	bsb11762465	1018	Saubrigkeit .	ἀκακία
ACACIAS	bsb11762465	364	Einfeltigkeit .	ακακίας
ACACO	bsb11762465	918	Na	ἄκακο
ACACOS	bsb10314207	130	Vnschedlich .	άκακος
ACACTH	bsb11762465	495	Fromb .	ἄκακΘ
ACAINA	bsb11762465	1121	Stachel .	ἄκαινα
ACAINTHODES	bsb11762465	330	Dornich / Spikig .	ἀκαινθώδης
ACAIRO	bsb11762465	353	Immenſa ambitio .	ἄκαιρο
ACAKA	bsb11762465	363	Einfeltig .	ἄκακα
ACAKES	bsb11762465	363	Einfeltig .	ἀκακὴς
ACAKIA	bsb11762465	1018	Saubrigkeit .	ἀκακία
ACAKIAS	bsb11762465	364	Einfeltigkeit .	ακακίας
ACAKO	bsb11762465	918	Na	ἄκακο
ACAKOS	bsb10314207	130	Vnschedlich .	άκακος
ACAKTH	bsb11762465	495	Fromb .	ἄκακΘ
ACALEFE	bsb11762465	921	Neffel .	ἀκαλήφη
ACALEPHE	bsb11762465	921	Neffel .	ἀκαλήφη
ACALLIERETOS	bsb10314207	50	Verfluchtig .	ἀκαλλιέρητος
ACAMATOU	bsb10314207	129	Vn	ἀκάματου
ACAMATU	bsb10314207	129	Vn	ἀκάματου
ACAMPES	bsb10314207	98	Vnbiegig .	ἀκαμπής
ACAN	bsb11762465	651	Hage .	άκαν
ACANTHA	bsb11762465	325	Diftel .	άκανθα
ACANTHEON	bsb11762465	651	Hage .	ἀκανθεών
ACANTHION	bsb11762465	742	Igel .	ἀκανθίον
ACANTHIS	bsb11762465	325	vogel .	ἀκανθίς
ACANTHO	bsb11762465	189	Behrenklaw .	ἄκανθο
ACANTHON	bsb11762465	330	pufch .	ἀκανθὼν
ACANTHONOTO	bsb11762465	742	Igel .	ἀκανθόνωτο
ACAREI	bsb11762465	152	Bald .	ἀκαρεῖ
ACARES	bsb11762465	1037	Schier / Bey nahe	ἀκαρής
ACAROS	bsb10314207	20	Tråger .	άκαρος
ACARPIA	bsb10314207	110	Vnfruchtbarkeit .	ἀκαρπία
ACARPOS	bsb10314207	110	Vufruchtbar .	ἄκαρπος
ACARPOTE	bsb11762465	511	Gar arm .	ἀκαρπότε-
ACAS	bsb10314207	214	Wu	ἀκας
ACATAGGELTO	bsb10314207	135	Vnuerdampt .	ἀκατάγγελτο
ACATANGELTO	bsb10314207	135	Vnuerdampt .	ἀκατάγγελτο
ACATARATOS	bsb10314207	136	Vnuerflucht .	ἀκατάρατος
ACATERGASOS	bsb10314207	95	Vnartig .	ἀκατέργασος
ACATHARIZEIN	bsb11762465	991	Reinigen .	ακαθαρίζειν
ACATHARSIA	bsb10314207	62	Vermacklung .	ἀκαθαρσία
ACATHARSIAS	bsb10314207	109	Vnfletigkeit .	ἀκαθαρσίας
ACATHARTO	bsb10314207	124	Gallic . debiliter affoiblir .	ἀκάθαρτο
ACATHARTOS	bsb10314207	47	Mensch .	ἀκάθαρτος
ACATHICTO	bsb10314207	192	Wild .	ἀκάθικτο
ACATHIKTO	bsb10314207	192	Wild .	ἀκάθικτο
