form	volume	scan	headword_ocr	printed
aaaa	bsb11762465	179	Zeladen .	aaaa
aach	bsb10314207	82	Verzagen .	aach
aagaab	bsb11762465	439	Fa	aagaab
aage	bsb11762465	85	Item :	aage
abad	bsb10314207	46	Verdammung .	abad
abah	bsb11762465	584	ان	.abah
abal	bsb11762465	382	Engstig sein .	abal
abarque	bsb10314207	40	Vbertretten .	abarque
abbaath	bsb11762465	1000	Ring .	abbaath
abbaiſſement	bsb11762465	64	Ablassung .	abbaiſſement
abber	bsb11762465	889	Mitgesell .	abber
abbir	bsb11762465	641	Grofmutig .	abbir
abductus	bsb11762465	756	Irrende	abductus
abech	bsb11762465	338	Du	abech
abefch	bsb11762465	340	Dürr werden .	abefch
aber	bsb11762465	1033	Schellig / wütend ,	Aber
aberwitzig	bsb11762465	1105	Sinnlof .	Aberwitzig
abfoluere	bsb11762465	134	digen .	abfoluere
abfolutio	bsb10314207	142	Volkommenheit .	abfolutio
abftergere	bsb11762465	384	Entschuidigen .	abftergere
abftinere	bsb10314207	72	Verschonen .	abftinere
abftrudere	bsb10314207	56	Verhålen .	abftrudere
abhad	bsb10314207	222	Bergehen .	abhad
abhaddon	bsb10314207	47	Be	abhaddon
abhah	bsb11762465	174	Beyfallen .	abhah
abhak	bsb11762465	1127	Staub .	abhak
abhal	bsb10314207	21	Trawren .	abhal
abhalala	bsb11762465	829	Leiden .	abhalala
abham	bsb10314207	79	Verwandter .	abham
abhar	bsb10314207	38	Pbergchen .	abhar
abhat	bsb11762465	1081	Schen .	abhat
abhatach	bsb10314207	61	Verlaffen .	abhatach
abhedah	bsb11762465	914	Na	abhedah
abhefch	bsb10314207	48	Verdorren .	abhefch
abhel	bsb11762465	211	Be	abhel
abherah	bsb10314207	40	Vbertrettung .	abherah
abhidson	bsb11762465	656	Handthierung .	abhidson
abhir	bsb10314207	65	Vermüglich .	abhir
abhnet	bsb11762465	1002	Rittergürtel .	abhnet
abhodah	bsb11762465	92	Ampt .	abhodah
abhotchab	bsb11762465	951	Pfandt .	abhotchab
abhoth	bsb10314207	147	Voreltern .	abhoth
abhur	bsb11762465	496	Frucht an Korn .	abhur
abiettus	bsb10314207	106	Vnehrlich .	abiettus
abigere	bsb10314207	78	Vertreiben .	Abigere
abiicere	bsb10314207	82	Verzagen .	abiicere
abimonah	bsb10314207	122	ge wolluft .	abimonah
abira	bsb10314207	233	Zornig	abira
abire	bsb10314207	73	Verschwinden .	abire
ablactare	bsb11762465	384	Entwehnen .	Ablactare
aboda	bsb11762465	59	Aberglaub ,	aboda
abodath	bsb11762465	70	Ackerbaw .	abodath
abolir	bsb11762465	65	Abschaffen	abolir
aboth	bsb11762465	377	Eltern .	aboth
aboutiſſant	bsb11762465	105	Anstoffig / Nahe .	aboutiſſant
aboutiſſe	bsb11762465	105	Anstoffen .	aboutiſſe-
abufiue	bsb11762465	523	Gaffe .	abufiue
abyli	bsb10314207	13	Tieffe .	abyli
abysme	bsb11762465	62	Abgrund .	abysme
abſtrahi	bsb11762465	1152	Sundigen .	abſtrahi
acbad	bsb11762465	855	Lüzel oder wenig .	acbad
accabifch	bsb11762465	1117	Sp	accabifch
acceffus	bsb11762465	364	Eingang .	acceffus
acceperunt	bsb11762465	137	Aufgang ..	acceperunt
acceptare	bsb11762465	102	Annemen .	acceptare
accepteur	bsb11762465	104	Anfchen .	accepteur
acceptum	bsb11762465	533	Gefallen .	acceptum
acceptus	bsb11762465	839	Lieb .	acceptus
accerfire	bsb11762465	478	Fordern .	accerfire
accinere	bsb11762465	93	Anblasen .	accinere
accipere	bsb10314207	82	De	accipere
accommodare	bsb10314207	249	Zusammen fågen .	accommodare
accorder	bsb11762465	178	Bekennen .	accorder
accufation	bsb11762465	101	Anklagung .	accufation
aceo	bsb11762465	427	Effig .	aceo
acerra	bsb11762465	978	Rauchfaf .	acerra
acha	bsb11762465	788	Köcher .	acha
achach	bsb11762465	708	Hoffnung .	achach
achads	bsb11762465	201	Befißen .	achads
achak	bsb11762465	439	Fa	achak
achal	bsb11762465	201	Befißen .	achal
achan	bsb11762465	288	Dampff / Dunft .	achan
achar	bsb10314207	48	Verdingen .	achar
achare	bsb11762465	134	Au	achare
acharlox	bsb11762465	659	Harren / warten .	achar.lox
acharon	bsb11762465	837	Lekter .	acharon
achas	bsb11762465	73	Adelkeit .	achas
achath	bsb11762465	530	Ordencken :	achath
achats	bsb11762465	150	Lauare & lauari , Balneare ,	achats
achbar	bsb11762465	867	Mauf .	achbar
achdar	bsb10314207	96	Inbarmherzig .	achdar
achdariiuth	bsb11762465	631	Grawsamkeit .	achdariiuth
achdfari	bsb11762465	481	Frech .	achdfari
achen	bsb10314207	159	Warlich .	achen
acher	bsb11762465	95	Ander .	acher
acherum	bsb11762465	314	Die andern .	acherum
acheter	bsb11762465	62	Abkauffen .	acheter
achhalam	bsb10314207	223	Zerstoffen .	achhalam
achid	bsb11762465	369	Einſidler .	achid
achim	bsb11762465	528	Gebrüder .	achim
achol	bsb10314207	65	Vermüglich .	achol
achor	bsb10314207	248	Item .	achor
achoth	bsb11762465	1076	Schwester .	achoth
achpoth	bsb11762465	792	Kot / Dreck .	achpoth
achsde	bsb11762465	634	Grimmigkeit .	achsde-
achumroth	bsb10314207	150	wache .	achumroth
achur	bsb11762465	789	Korn .	achur
achurim	bsb11762465	507	Fuß .	achurim
achvah	bsb11762465	107	Anzeigung .	achvah
achár	bsb10314207	48	Verdienst .	achár
aciein	bsb11762465	1044	Schlachtordnung .	aciein
aciem	bsb11762465	877	Meffer weken .	aciem
acopera	bsb11762465	1013	Sack .	acopera
acoustrer	bsb11762465	469	Flechten .	acoustrer
acropolis	bsb11762465	1051	Schloß / Burg .	acropolis
actat	bsb11762465	403	Er lobet sich selbs .	actat
adabh	bsb11762465	1076	Schwinden .	adabh
adah	bsb11762465	1055	Schmücken .	adah
adal	bsb11762465	536	Gehen .	adal
adam	bsb11762465	77	Alle Menschen .	adam
adamah	bsb11762465	71	ger .	adamah
adaph	bsb10314207	37	Vberflüßig seyn	adaph
adar	bsb10314207	40	Vbertreffen .	adar
adath	bsb11762465	745	Im	adath
addah	bsb10314207	168	We	addah
addere	bsb10314207	227	Zieren .	addere
addereth	bsb11762465	1124	St	addereth
addir	bsb11762465	72	Adel .	addir
adducere	bsb11762465	185	Be	adducere
adelheit	bsb11762465	345	Stamm .	Adelheit
adfah	bsb11762465	202	Besprengen .	adfah
adfak	bsb11762465	628	Graben .	adfak
adfal	bsb10314207	165	Wegreifen .	adfal
adfar	bsb11762465	1010	Rüsten .	adfar
adfarah	bsb11762465	707	Hoff .	adfarah
adfenim	bsb10314207	152	Waffen .	adfenim
adfur	bsb11762465	556	Gerüft .	adfur
adhachah	bsb10314207	181	Werffen .	adhachah
adhar	bsb10314207	39	Vberschreiten .	adhar
adhibebant	bsb11762465	774	Ketch .	adhibebant
adhibere	bsb11762465	202	Befferen .	adhibere
adhir	bsb11762465	1126	Starck .	adhir
adhuc	bsb11762465	788	Kol .	adhuc
adiakuch	bsb11762465	741	Jeger / Weidman .	adiakuch
adiectiu	bsb11762465	426	Efche / Eschbawm .	adiectiu
adigere	bsb10314207	16	To	adigere
adit	bsb11762465	364	Eingang .	adit
admach	bsb11762465	134	oder stoffen .	admach
admittere	bsb10314207	56	Vergunnen .	admittere
adon	bsb11762465	460	Fürst .	adon
adoptare	bsb11762465	102	Annemen .	adoptare
adoreum	bsb11762465	789	Korn .	Adoreum
adtal	bsb11762465	147	Au	adtal
adue	bsb11762465	969	Prophet .	adue
aduenture	bsb11762465	60	Abfall .	aduenture
adultera	bsb11762465	348	Ehebrecherin .	adultera
adulterari	bsb11762465	1072	Item .	adulterari
adultere	bsb11762465	348	Ehebrecher .	adultere
aera	bsb11762465	475	Fliegen .	aera
aere	bsb11762465	462	Fårtreffen .	aere
aereus	bsb11762465	699	Hoch .	aereus
afah	bsb10314207	13	Thun .	afah
afaph	bsb11762465	1016	Samlen .	afaph
afar	bsb10314207	249	Zusammen binden	afar
afcel	bsb11762465	785	Klug / Wikig .	afcel
afcendere	bsb10314207	241	Zu Himmel fahren .	afcendere
afch	bsb11762465	1020	Schab .	afch
afchach	bsb11762465	337	Dunckel werden .	afchach
afchad	bsb11762465	575	Gieffen .	afchad
afchah	bsb10314207	210	Wuchern .	afchah
afchan	bsb11762465	133	Ausblasen .	afchan
afchar	bsb11762465	989	Reich Reich seyn .	afchar
afchath	bsb11762465	838	Leuchten .	afchath
afche	bsb11762465	278	Busch .	afche
afcherah	bsb11762465	160	Bawm .	afcherah
afchir	bsb11762465	988	Reich / vermågen .	afchir
afchkenats	bsb11762465	312	Deutschlandt .	afchkenats
affabilitas	bsb11762465	487	Freundligkeit .	affabilitas
affaiſer	bsb11762465	67	Absteigen .	affaiſer
affectu	bsb11762465	862	oder Holk .	affectu
affem	bsb11762465	76	Alle .	affem-
affequi	bsb10314207	75	Verstehen .	affequi
afferere	bsb11762465	134	digen .	afferere
afferre	bsb10314207	227	Zieren .	afferre
affici	bsb11762465	385	Erbarmen .	affici
affinitas	bsb10314207	79	Verwandtschafft .	affinitas
affirmare	bsb11762465	463	Fårwar sagen .	affirmare
afger	bsb11762465	1051	Schloffer .	afger
afir	bsb11762465	533	Gefangen .	afir
afis	bsb11762465	859	Malacey / Auffak .	afis
aflictio	bsb11762465	948	Pein .	aflictio
afne	bsb11762465	410	Efel .	afne
afnon	bsb11762465	410	Efel .	afnon
afpah	bsb11762465	791	Ko	afpah
afpicere	bsb10314207	252	Zuschen .	afpicere
aftre	bsb11762465	684	Hert / Fewerftett .	aftre
aftris	bsb10314207	254	Zu	aftris
afur	bsb11762465	529	Ge	afur
afurim	bsb11762465	751	In	afurim
aféreth	bsb11762465	563	10. Gebot Gottes .	aféreth
afſfurgere	bsb10314207	168	4 Weichen .	afſfurgere
agach	bsb10314207	238	Zu einem gehen .	agach
agal	bsb10314207	90	Vmbgang .	agal
agalab	bsb10314207	153	POSTICA .	agalab
agam	bsb11762465	959	Pfük .	agam
agapagach	bsb11762465	383	lauffen .	agapagach
agaph	bsb11762465	105	Anstoffen	agaph
agar	bsb10314207	252	Acker .	agar
agencer	bsb11762465	469	Flechten .	agencer
agere	bsb10314207	214	Wurzeln .	agere
agger	bsb11762465	288	Damm .	Agger
aggo	bsb11762465	655	Handbecken .	aggo
agiddah	bsb11762465	655	Handbüschel .	agiddah
agil	bsb11762465	652	Halfbandt .	agil
agmon	bsb11762465	99	Angel . Fischhamel .	agmon
agnofcere	bsb11762465	552	Ge	agnofcere
agol	bsb11762465	494	Frolocken .	agol
agraffer	bsb11762465	258	ren .	agraffer
agricultor	bsb11762465	71	ger .	agricultor
agulah	bsb11762465	282	Circkel .	agulah
agur	bsb11762465	1069	Schwalbe .	agur
agyddah	bsb11762465	273	Bu	agyddah
ahabbah	bsb11762465	839	Liebe .	ahabbah
ahabh	bsb11762465	173	ren / vberlieffern .	ahabh
ahabhaabh	bsb11762465	168	Begierlich sein .	ahabhaabh
ahabhah	bsb11762465	487	Freundligkeit .	ahabhah
ahah	bsb11762465	148	Awe .	ahah
